trade_id,entry_ts,exit_ts,direction,entry_weight,exit_weight,gross_return_simple,net_return_simple,bars,turnover_sum,cost_sum
1,2025-01-01T00:00:00,2025-01-01T18:07:00,long,1.0,1.0,0.05065449810124534,0.04970909033598736,1088,1.0,0.0009
2,2025-01-01T18:08:00,2025-01-01T19:50:00,short,-1.0,-1.0,-0.01957830247344461,-0.021342775788297463,103,2.0,0.0018
3,2025-01-01T19:51:00,2025-01-02T02:36:00,long,1.0,1.0,0.029706528837380564,0.02785383127574237,406,2.0,0.0018
4,2025-01-02T02:37:00,2025-01-02T04:46:00,short,-1.0,-1.0,7.675903679027485e-05,-0.0017225454637226356,130,2.0,0.0018
5,2025-01-02T04:47:00,2025-01-02T06:33:00,long,1.0,1.0,-0.011151081571994625,-0.012930142125015975,107,2.0,0.0018
6,2025-01-02T06:34:00,2025-01-02T08:40:00,short,-1.0,-1.0,-0.003257548019732215,-0.005051117475561306,127,2.0,0.0018
7,2025-01-02T08:41:00,2025-01-04T00:37:00,long,1.0,1.0,0.10336670670217551,0.10138059215991446,2397,2.0,0.0018
8,2025-01-04T00:38:00,2025-01-04T03:43:00,short,-1.0,-1.0,-0.008706586342894118,-0.010490491615600783,186,2.0,0.0018
9,2025-01-04T03:44:00,2025-01-07T19:23:00,long,1.0,1.0,-0.09441168401931188,-0.09604057613644756,5260,2.0,0.0018
10,2025-01-07T19:24:00,2025-01-07T20:14:00,short,-1.0,-1.0,0.01054522731407359,0.008726969489693204,51,2.0,0.0018
11,2025-01-07T20:15:00,2025-01-10T20:10:00,long,1.0,1.0,-0.022508930485964584,-0.02426850397751723,4316,2.0,0.0018
12,2025-01-10T20:11:00,2025-01-10T20:18:00,short,-1.0,-1.0,0.0018311388877048085,2.794722844678965e-05,8,2.0,0.0018
13,2025-01-10T20:19:00,2025-01-11T00:44:00,long,1.0,1.0,-0.019483508153203988,-0.02124855949771176,266,2.0,0.0018
14,2025-01-11T00:45:00,2025-01-12T15:21:00,short,-1.0,-1.0,0.007116093189249328,0.005303142797692173,2317,2.0,0.0018
15,2025-01-12T15:22:00,2025-01-13T06:54:00,long,1.0,1.0,-0.040552617529048374,-0.04227843403366305,933,2.0,0.0018
16,2025-01-13T06:55:00,2025-01-13T09:43:00,short,-1.0,-1.0,0.028539232447792218,0.02668866623799304,169,2.0,0.0018
17,2025-01-13T09:44:00,2025-01-15T11:47:00,long,1.0,1.0,0.07432508028277618,0.0723911783326947,3004,2.0,0.0018
18,2025-01-15T11:48:00,2025-01-15T13:33:00,short,-1.0,-1.0,-0.02603209187207689,-0.027785392825429467,106,2.0,0.0018
19,2025-01-15T13:34:00,2025-01-15T17:52:00,long,1.0,1.0,0.03156700409180191,0.02971360653341426,259,2.0,0.0018
20,2025-01-15T17:53:00,2025-01-16T13:42:00,short,-1.0,-1.0,-0.047884926275420514,-0.04959864944744985,1190,2.0,0.0018
21,2025-01-16T13:43:00,2025-01-16T23:23:00,long,1.0,1.0,0.02052679504371735,0.018690452297764892,581,2.0,0.0018
22,2025-01-16T23:24:00,2025-01-17T01:35:00,short,-1.0,-1.0,-0.024722179798242094,-0.026476382112309738,132,2.0,0.0018
23,2025-01-17T01:36:00,2025-01-17T07:57:00,long,1.0,1.0,0.08701939307719009,0.08506376015836858,382,2.0,0.0018
24,2025-01-17T07:58:00,2025-01-17T13:43:00,short,-1.0,-1.0,0.023316387977802222,0.021475523260082285,346,2.0,0.0018
25,2025-01-17T13:44:00,2025-01-18T15:58:00,long,1.0,1.0,-0.061079685840835674,-0.0627696728755277,1575,2.0,0.0018
26,2025-01-18T15:59:00,2025-01-18T16:45:00,short,-1.0,-1.0,0.017319164126731845,0.015489239580623426,47,2.0,0.0018
27,2025-01-18T16:46:00,2025-01-19T04:58:00,long,1.0,1.0,0.025305334393066037,0.023460900162304732,733,2.0,0.0018
28,2025-01-19T04:59:00,2025-01-19T09:20:00,short,-1.0,-1.0,0.08032047196376935,0.07837659184789314,262,2.0,0.0018
29,2025-01-19T09:21:00,2025-01-20T00:05:00,long,1.0,1.0,-0.06889832698889098,-0.07057608415113192,885,2.0,0.0018
30,2025-01-20T00:06:00,2025-01-20T00:06:00,short,-1.0,-1.0,-0.00010151194219787385,-0.0019015119421978977,1,2.0,0.0018
31,2025-01-20T00:07:00,2025-01-20T09:53:00,long,1.0,1.0,0.10383022265456376,0.10184369605509436,587,2.0,0.0018
32,2025-01-20T09:54:00,2025-01-20T12:27:00,short,-1.0,-1.0,0.02570618576579009,0.023860426475702967,154,2.0,0.0018
33,2025-01-20T12:28:00,2025-01-20T17:05:00,long,1.0,1.0,-0.013046814310033295,-0.014824939991053943,278,2.0,0.0018
34,2025-01-20T17:06:00,2025-01-20T17:10:00,short,-1.0,-1.0,0.00451881652827435,0.0027159019530249573,5,2.0,0.0018
35,2025-01-20T17:11:00,2025-01-20T17:40:00,long,1.0,1.0,-0.016700280705216675,-0.018470407197760053,30,2.0,0.0018
36,2025-01-20T17:41:00,2025-01-20T17:43:00,short,-1.0,-1.0,0.009086632259381,0.007279158056761936,3,2.0,0.0018
37,2025-01-20T17:44:00,2025-01-21T01:31:00,long,1.0,1.0,-0.026359610844126746,-0.028114847481625294,468,2.0,0.0018
38,2025-01-21T01:32:00,2025-01-21T01:37:00,short,-1.0,-1.0,0.0017736847075615625,-2.7751348803173315e-05,6,2.0,0.0018
39,2025-01-21T01:38:00,2025-01-21T04:05:00,long,1.0,1.0,-0.01081616142127384,-0.012597451361357037,148,2.0,0.0018
40,2025-01-21T04:06:00,2025-01-21T05:01:00,short,-1.0,-1.0,0.01133376920686957,0.009513627160058435,56,2.0,0.0018
41,2025-01-21T05:02:00,2025-01-21T09:35:00,long,1.0,1.0,0.018277501264522433,0.01644483316727574,274,2.0,0.0018
42,2025-01-21T09:36:00,2025-01-21T10:08:00,short,-1.0,-1.0,-0.053655915011529,-0.055358968244459406,33,2.0,0.0018
43,2025-01-21T10:09:00,2025-01-21T10:49:00,long,1.0,1.0,0.05027936061818572,0.04839787691856223,41,2.0,0.0018
44,2025-01-21T10:50:00,2025-01-21T10:54:00,short,-1.0,-1.0,0.005252903841758805,0.003445982035025219,5,2.0,0.0018
45,2025-01-21T10:55:00,2025-01-21T11:07:00,long,1.0,1.0,-0.02102002127519864,-0.022784220326739657,13,2.0,0.0018
46,2025-01-21T11:08:00,2025-01-21T11:23:00,short,-1.0,-1.0,0.020704781438912967,0.018870645333598057,16,2.0,0.0018
47,2025-01-21T11:24:00,2025-01-21T11:31:00,long,1.0,1.0,-0.0002417451662083403,-0.0020419198929437776,8,2.0,0.0018
48,2025-01-21T11:32:00,2025-01-21T12:17:00,short,-1.0,-1.0,-0.010581395914568859,-0.012362406053814223,46,2.0,0.0018
49,2025-01-21T12:18:00,2025-01-21T12:35:00,long,1.0,1.0,0.012511718686531781,0.010690977545064762,18,2.0,0.0018
50,2025-01-21T12:36:00,2025-01-21T16:11:00,short,-1.0,-1.0,-0.0015997767332938118,-0.0033973526588227942,216,2.0,0.0018
51,2025-01-21T16:12:00,2025-01-21T17:20:00,long,1.0,1.0,0.012253867099035087,0.0104334607259855,69,2.0,0.0018
52,2025-01-21T17:21:00,2025-01-22T00:05:00,short,-1.0,-1.0,-0.004369655833679431,-0.006161846143892258,405,2.0,0.0018
53,2025-01-22T00:06:00,2025-01-22T00:41:00,long,1.0,1.0,0.010526858102518633,0.008708148408855365,36,2.0,0.0018
54,2025-01-22T00:42:00,2025-01-22T00:58:00,short,-1.0,-1.0,-0.0051037123753063796,-0.006894605566068579,17,2.0,0.0018
55,2025-01-22T00:59:00,2025-01-22T02:06:00,long,1.0,1.0,0.02110569608358337,0.019268749687122222,68,2.0,0.0018
56,2025-01-22T02:07:00,2025-01-22T14:53:00,short,-1.0,-1.0,0.0635649568945682,0.0616504441481589,767,2.0,0.0018
57,2025-01-22T14:54:00,2025-01-22T16:28:00,long,1.0,1.0,-0.006213189954821563,-0.008000944749334216,95,2.0,0.0018
58,2025-01-22T16:29:00,2025-01-23T13:32:00,short,-1.0,-1.0,0.028283172509332877,0.02643228989191604,1264,2.0,0.0018
59,2025-01-23T13:33:00,2025-01-23T16:38:00,long,1.0,1.0,0.06868354242870112,0.06676003602155234,186,2.0,0.0018
60,2025-01-23T16:39:00,2025-01-23T19:33:00,short,-1.0,-1.0,0.03888814717293276,0.03701739299328799,175,2.0,0.0018
61,2025-01-23T19:34:00,2025-01-24T00:11:00,long,1.0,1.0,0.019465688809679804,0.01763035969290727,278,2.0,0.0018
62,2025-01-24T00:12:00,2025-01-24T03:03:00,short,-1.0,-1.0,0.043172865977873176,0.04129553685022502,172,2.0,0.0018
63,2025-01-24T03:04:00,2025-01-24T03:12:00,long,1.0,1.0,0.0005172026383137851,-0.0012833529513199826,9,2.0,0.0018
64,2025-01-24T03:13:00,2025-01-24T03:28:00,short,-1.0,-1.0,-0.0033966665461232504,-0.005190667099120194,16,2.0,0.0018
65,2025-01-24T03:29:00,2025-01-24T06:38:00,long,1.0,1.0,0.032963831616794614,0.03110545967582845,190,2.0,0.0018
66,2025-01-24T06:39:00,2025-01-24T14:43:00,short,-1.0,-1.0,-0.01590961867619667,-0.017680371612663004,485,2.0,0.0018
67,2025-01-24T14:44:00,2025-01-24T20:23:00,long,1.0,1.0,-0.009400887711236594,-0.011182966697796726,340,2.0,0.0018
68,2025-01-24T20:24:00,2025-01-27T00:05:00,short,-1.0,-1.0,0.08450504401696812,0.08255364292699463,3102,2.0,0.0018
69,2025-01-27T00:06:00,2025-01-27T06:05:00,long,1.0,1.0,-0.0365008192606342,-0.038234760203805784,360,2.0,0.0018
70,2025-01-27T06:06:00,2025-01-27T06:50:00,short,-1.0,-1.0,0.007769132711363369,0.005954803238128026,45,2.0,0.0018
71,2025-01-27T06:51:00,2025-01-27T08:05:00,long,1.0,1.0,-0.008320307935581694,-0.010105703273431521,75,2.0,0.0018
72,2025-01-27T08:06:00,2025-01-27T08:23:00,short,-1.0,-1.0,0.0016070090580766472,-0.00019669013709078254,18,2.0,0.0018
73,2025-01-27T08:24:00,2025-01-27T08:45:00,long,1.0,1.0,-0.004604975969721203,-0.006396756854544883,22,2.0,0.0018
74,2025-01-27T08:46:00,2025-01-27T09:07:00,short,-1.0,-1.0,0.0002835797801270523,-0.0015165677472138706,22,2.0,0.0018
75,2025-01-27T09:08:00,2025-01-27T09:27:00,long,1.0,1.0,0.01394369783601368,0.012120922656430055,20,2.0,0.0018
76,2025-01-27T09:28:00,2025-01-27T12:55:00,short,-1.0,-1.0,-0.0005988791915026992,-0.0023974809487393722,208,2.0,0.0018
